"","date","alpha","n1","n2","n3","n4"
"1",1999,-0.305547836264278,NA,NA,NA,NA
"2",2000,0.0717007944259122,0.181979397234441,0.0592709437555731,0.0132008106263414,0.000317790843882978
"3",2001,0.290177238185197,-0.127212710059587,-0.0547196027376025,-0.00368395931950407,-0.000865740043871631
"4",2002,-0.110357479415456,0.442358239205034,0.0525746364158435,-0.0107239223443458,0.000128131675969435
"5",2003,0.883526968539336,0.0136537802364536,0.0307943394564222,-0.074840314774,0.00108510877480436
"6",2004,0.251852927980465,-0.203014074076475,-0.0332766496939327,-0.0192315807349963,0.000508208293617275
"7",2005,0.0736363581308873,0.0298141894604939,-0.000394180200096334,-0.004787001858403,-7.95154198051136e-06
"8",2006,0.179788093044778,0.0892332690458968,0.0238395073270852,0.0165319911001601,0.000164745097726063
"9",2007,-0.000380991512676142,0.268075591848732,0.034632501647718,0.000751295190778515,0.000497212320244489
"10",2008,-0.415916086005281,-0.0357227211730198,0.0111905454773722,0.00633247936593704,0.00042231650658302
"11",2009,0.720472134493562,15.5032994733057,-0.659163398332512,-0.239453279020218,-0.00857805301727592
"12",2010,0.29564761979595,0.547463205159865,0.102839302147929,0.0262336164991419,0.000444356679891719
"13",2011,-0.0757239737408696,0.402461785242595,-0.00775504079998489,0.0134682178691217,-0.000256982815387477
"14",2012,0.180609899643498,0.587577810394747,-0.0146851385191377,-0.00703671158677463,-8.34735296502273e-05
"15",2013,0.440086498700037,0.589670537258674,-0.0114446504885119,0.00704750493408911,-0.000116170579999516
"16",2014,0.0471526765893554,0.0629365293410266,-0.0473258477092919,-0.00534893663935529,0.000446041609704269
"17",2015,-0.0763514878236879,0.662205074875052,0.109267056378749,0.0904866694528487,0.000629233137696021
"18",2016,0.227152769528264,2.49531990399338,0.0544569715722211,0.0293201156807596,0.000268803274998877
